"nombre_estado","id_producto"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P019"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
"Aguascalientes","P026"
